TAXA_EVASAO,ano
0.0,2023
1.0,2023
0.25,2023
0.3333333333333333,2023
0.4,2023
0.3023255813953488,2023
1.0,2023
0.5,2023
0.2,2023
1.0,2023
0.0,2023
1.0,2023
0.0,2023
0.8421052631578947,2023
0.3333333333333333,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
0.6666666666666666,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
1.0,2023
0.8,2023
0.4,2023
1.0,2023
1.0,2023
0.0,2023
1.0,2023
0.5,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.25,2023
0.0,2023
0.7142857142857143,2023
0.2,2023
0.8461538461538461,2023
0.0,2023
0.38095238095238093,2023
0.0,2023
0.25,2023
1.0,2023
0.2,2023
0.8666666666666667,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
1.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.5,2023
0.0,2023
0.029411764705882353,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.2,2023
0.0,2023
1.0,2023
0.7647058823529411,2023
0.125,2023
0.631578947368421,2023
0.0,2023
1.0,2023
0.0,2023
0.42857142857142855,2023
0.0,2023
0.0,2023
0.0,2023
0.9032258064516129,2023
1.0,2023
0.0,2023
0.5,2023
0.0,2023
0.0,2023
0.0,2023
0.5454545454545454,2023
0.3333333333333333,2023
0.26666666666666666,2023
0.6666666666666666,2023
0.5,2023
0.55,2023
0.0,2023
0.0,2023
0.7272727272727273,2023
1.0,2023
1.0,2023
0.0,2023
0.0,2023
1.0,2023
1.0,2023
0.5,2023
0.25,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.2,2023
0.6666666666666666,2023
0.0,2023
0.75,2023
0.20408163265306123,2023
0.4,2023
0.7068965517241379,2023
0.5,2023
0.125,2023
0.3333333333333333,2023
0.2222222222222222,2023
0.0,2023
1.0,2023
0.3333333333333333,2023
0.0,2023
0.7777777777777778,2023
1.0,2023
0.5,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
0.4,2023
0.0,2023
0.0,2023
0.0,2023
0.42857142857142855,2023
0.0,2023
0.5,2023
0.0,2023
0.6666666666666666,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.2,2023
1.0,2023
0.8571428571428571,2023
0.6666666666666666,2023
0.0,2023
0.3448275862068966,2023
0.0,2023
0.9230769230769231,2023
0.0,2023
0.4375,2023
0.3333333333333333,2023
0.0,2023
1.0,2023
0.0,2023
1.0,2023
0.0,2023
0.3103448275862069,2023
1.0,2023
0.0,2023
0.0,2023
0.5,2023
0.3333333333333333,2023
0.0,2023
0.0,2023
0.6428571428571429,2023
0.7142857142857143,2023
0.0,2023
0.0,2023
0.0,2023
0.6111111111111112,2023
0.0,2023
0.4444444444444444,2023
0.0,2023
0.0,2023
0.2,2023
1.0,2023
1.0,2023
0.0,2023
0.6,2023
0.75,2023
0.0,2023
0.3,2023
0.0,2023
0.25,2023
0.0,2023
1.0,2023
0.0,2023
0.4,2023
1.0,2023
0.5,2023
0.5,2023
0.5652173913043478,2023
0.0,2023
0.0,2023
0.6666666666666666,2023
0.375,2023
0.5,2023
1.0,2023
0.4,2023
0.5,2023
0.5555555555555556,2023
0.3333333333333333,2023
1.0,2023
0.38095238095238093,2023
1.0,2023
1.0,2023
1.0,2023
0.0,2023
0.7857142857142857,2023
0.0,2023
1.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
0.5,2023
0.0,2023
0.5,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.6,2023
0.0,2023
0.5,2023
0.0,2023
0.0,2023
0.6666666666666666,2023
0.0,2023
0.0,2023
0.18181818181818182,2023
0.5,2023
0.0,2023
0.5,2023
1.0,2023
0.0,2023
0.16666666666666666,2023
0.6,2023
0.0,2023
0.4166666666666667,2023
0.0,2023
0.0,2023
0.5714285714285714,2023
0.0,2023
1.0,2023
0.0,2023
0.3333333333333333,2023
0.2,2023
0.0,2023
0.0,2023
0.2631578947368421,2023
0.0,2023
0.0,2023
1.0,2023
1.0,2023
0.0,2023
1.0,2023
0.0,2023
1.0,2023
0.41509433962264153,2023
1.0,2023
0.16666666666666666,2023
0.0,2023
0.5652173913043478,2023
0.5,2023
0.0,2023
0.30303030303030304,2023
0.6,2023
1.0,2023
0.0,2023
0.5,2023
0.5,2023
0.35135135135135137,2023
0.0,2023
1.0,2023
0.45,2023
1.0,2023
1.0,2023
1.0,2023
0.0,2023
0.8125,2023
0.5,2023
0.4444444444444444,2023
0.0,2023
0.7857142857142857,2023
0.0,2023
1.0,2023
0.6666666666666666,2023
0.0,2023
0.6666666666666666,2023
1.0,2023
1.0,2023
0.42857142857142855,2023
0.0,2023
0.6,2023
0.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.6,2023
0.0,2023
0.0,2023
0.0,2023
0.6363636363636364,2023
0.2,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.3,2023
0.0,2023
0.0,2023
0.0,2023
0.0,2023
0.4,2023
0.6666666666666666,2023
0.0,2023
1.0,2023
0.4444444444444444,2023
0.0,2023
0.25,2023
0.2,2023
0.0,2023
0.0,2023
0.32432432432432434,2023
0.16666666666666666,2023
1.0,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
0.0,2023
1.0,2023
1.0,2023
0.0,2023
0.75,2023
0.0,2023
0.0,2023
1.0,2023
0.8,2023
0.6666666666666666,2023
0.375,2023
0.5,2023
0.6666666666666666,2023
0.5,2023
0.5,2023
0.0,2023
0.0,2023
1.0,2023
1.0,2023
0.6666666666666666,2023
0.5,2023
0.3333333333333333,2023
0.65625,2023
0.0,2023
0.25,2023
0.0,2023
1.0,2023
0.6,2023
0.0,2023
0.0,2023
0.3333333333333333,2023
0.0,2023
1.0,2023
0.0,2023
0.0,2023
1.0,2023
0.6666666666666666,2023
1.0,2023
0.0,2023
0.0,2023
0.16666666666666666,2023
0.6666666666666666,2023
0.0,2023
0.0,2023
