NO_CURSO,Rede,Grau,NO_REGIAO_IES,QT_ING_TOTAL,QT_DESV_TOTAL,ano
Estatística,Privada,Bacharelado,Sudeste,506,194,2024
Estatística,Privada,Bacharelado,Sul,31,11,2024
Estética,Privada,Tecnólogo,Centro-Oeste,8,0,2024
Estética E Cosmética,Privada,Bacharelado,Sudeste,24,10,2024
Estética E Cosmética,Privada,Tecnólogo,Centro-Oeste,603,244,2024
Estética E Cosmética,Privada,Tecnólogo,Nordeste,2210,493,2024
Estética E Cosmética,Privada,Tecnólogo,Norte,347,93,2024
Estética E Cosmética,Privada,Tecnólogo,Sudeste,9490,5122,2024
Estética E Cosmética,Privada,Tecnólogo,Sul,18658,11058,2024
Eventos,Privada,Tecnólogo,Centro-Oeste,60,32,2024
Eventos,Privada,Tecnólogo,Nordeste,27,17,2024
Eventos,Privada,Tecnólogo,Sudeste,747,302,2024
Eventos,Privada,Tecnólogo,Sul,396,259,2024
Experiência Do Usuário,Privada,Tecnólogo,Sul,25,8,2024
Experiência Do Usuário E Modelagem De Projetos Inovadores,Privada,Tecnólogo,Nordeste,40,8,2024
Experiência Do Usuário E Modelagem De Projetos Inovadores,Privada,Tecnólogo,Sudeste,4,2,2024
Fabricação Mecânica,Privada,Tecnólogo,Sudeste,84,22,2024
Fabricação Mecânica,Privada,Tecnólogo,Sul,86,85,2024
Farmácia,Privada,Bacharelado,Centro-Oeste,1845,721,2024
Farmácia,Privada,Bacharelado,Nordeste,6876,946,2024
Farmácia,Privada,Bacharelado,Norte,579,91,2024
Farmácia,Privada,Bacharelado,Sudeste,13609,6335,2024
Farmácia,Privada,Bacharelado,Sul,26720,15168,2024
Farmácia,Pública,Bacharelado,Sul,2,2,2024
Filmmaker,Privada,Tecnólogo,Nordeste,151,20,2024
Filmmaker,Privada,Tecnólogo,Norte,22,8,2024
Filmmaker,Privada,Tecnólogo,Sudeste,1,0,2024
Filmmaker,Privada,Tecnólogo,Sul,21,3,2024
Filosofia,Privada,Bacharelado,Centro-Oeste,105,33,2024
Filosofia,Privada,Bacharelado,Nordeste,11,4,2024
Filosofia,Privada,Bacharelado,Sudeste,546,211,2024
Filosofia,Privada,Bacharelado,Sul,1151,670,2024
Filosofia,Privada,Licenciatura,Centro-Oeste,168,80,2024
Filosofia,Privada,Licenciatura,Nordeste,50,34,2024
Filosofia,Privada,Licenciatura,Sudeste,1788,840,2024
Filosofia,Privada,Licenciatura,Sul,3369,1676,2024
Filosofia,Pública,Licenciatura,Nordeste,52,5,2024
Filosofia,Pública,Licenciatura,Sudeste,393,32,2024
Filosofia,Pública,Licenciatura,Sul,128,50,2024
Filosofia - Programa Segunda Licenciatura,Pública,Licenciatura,Sudeste,1,0,2024
Fisioterapia,Privada,Bacharelado,Centro-Oeste,1461,798,2024
Fisioterapia,Privada,Bacharelado,Nordeste,7672,1182,2024
Fisioterapia,Privada,Bacharelado,Norte,467,12,2024
Fisioterapia,Privada,Bacharelado,Sudeste,12144,5791,2024
Fisioterapia,Privada,Bacharelado,Sul,21724,12429,2024
Fisioterapia,Pública,Bacharelado,Sul,3,1,2024
Fonoaudiologia,Privada,Bacharelado,Centro-Oeste,253,42,2024
Fonoaudiologia,Privada,Bacharelado,Nordeste,406,80,2024
Fonoaudiologia,Privada,Bacharelado,Norte,14,0,2024
Fonoaudiologia,Privada,Bacharelado,Sudeste,2691,836,2024
Fonoaudiologia,Privada,Bacharelado,Sul,2127,709,2024
Formação De Docentes Para A Educação Básica,Privada,Licenciatura,Norte,2,2,2024
Formação Pedagógica De Docentes Para A Educação Profissional De Nível Médio,Pública,Licenciatura,Sudeste,50,30,2024
Formação Pedagógica Para Graduados Não Licenciados,Privada,Licenciatura,Sul,452,3,2024
Fotografia,Privada,Tecnólogo,Centro-Oeste,178,99,2024
Fotografia,Privada,Tecnólogo,Nordeste,8,5,2024
Fotografia,Privada,Tecnólogo,Sudeste,705,353,2024
Fotografia,Privada,Tecnólogo,Sul,3266,1776,2024
Física,Privada,Bacharelado,Nordeste,2,2,2024
Física,Privada,Bacharelado,Sudeste,307,157,2024
Física,Privada,Bacharelado,Sul,485,142,2024
Física,Privada,Licenciatura,Centro-Oeste,9,2,2024
Física,Privada,Licenciatura,Nordeste,3,0,2024
Física,Privada,Licenciatura,Sudeste,705,238,2024
Física,Privada,Licenciatura,Sul,2184,829,2024
Física,Pública,Licenciatura,Nordeste,319,81,2024
Física,Pública,Licenciatura,Sudeste,64,14,2024
Física,Pública,Licenciatura,Sul,122,39,2024
Game Design,Privada,Tecnólogo,Nordeste,72,15,2024
Game Design,Privada,Tecnólogo,Norte,16,5,2024
Game Design,Privada,Tecnólogo,Sudeste,5,3,2024
Game Design,Privada,Tecnólogo,Sul,16,1,2024
Game Development,Privada,Tecnólogo,Sudeste,85,12,2024
Gastronomia,Privada,Tecnólogo,Centro-Oeste,437,219,2024
Gastronomia,Privada,Tecnólogo,Nordeste,668,218,2024
Gastronomia,Privada,Tecnólogo,Norte,93,10,2024
Gastronomia,Privada,Tecnólogo,Sudeste,3324,1553,2024
Gastronomia,Privada,Tecnólogo,Sul,8285,5408,2024
Geografia,Privada,Bacharelado,Centro-Oeste,12,2,2024
Geografia,Privada,Bacharelado,Nordeste,2,1,2024
Geografia,Privada,Bacharelado,Sudeste,500,195,2024
Geografia,Privada,Bacharelado,Sul,238,79,2024
Geografia,Privada,Licenciatura,Centro-Oeste,165,65,2024
Geografia,Privada,Licenciatura,Nordeste,141,21,2024
Geografia,Privada,Licenciatura,Norte,25,0,2024
Geografia,Privada,Licenciatura,Sudeste,2554,1094,2024
Geografia,Privada,Licenciatura,Sul,5661,2632,2024
Geografia,Pública,Licenciatura,Centro-Oeste,190,24,2024
Geografia,Pública,Licenciatura,Nordeste,380,121,2024
Geografia,Pública,Licenciatura,Norte,84,12,2024
Geografia,Pública,Licenciatura,Sudeste,189,9,2024
Geografia,Pública,Licenciatura,Sul,1,1,2024
Geografia - Programa Segunda Licenciatura,Pública,Licenciatura,Sudeste,1,0,2024
Geoprocessamento,Privada,Tecnólogo,Sul,178,60,2024
Gerontologia,Privada,Bacharelado,Sudeste,2,1,2024
Gerontologia,Privada,Bacharelado,Sul,217,37,2024
Gerontologia,Privada,Tecnólogo,Centro-Oeste,173,100,2024
Gerontologia,Privada,Tecnólogo,Sudeste,339,119,2024
Gerontologia,Privada,Tecnólogo,Sul,3208,1523,2024
Gerontologia - Bem-Estar E Educação,Privada,Tecnólogo,Centro-Oeste,21,6,2024
Gerontologia - Bem-Estar E Educação,Privada,Tecnólogo,Sudeste,377,184,2024
Gerontologia - Bem-Estar E Educação,Privada,Tecnólogo,Sul,126,65,2024
Gerontologia - Cuidado Ao Idoso,Privada,Tecnólogo,Centro-Oeste,1,0,2024
Gerontologia - Cuidado Ao Idoso,Privada,Tecnólogo,Sul,339,75,2024
Gerência Em Saúde,Privada,Tecnólogo,Sul,54,4,2024
Gestão Ambiental,Privada,Tecnólogo,Centro-Oeste,525,240,2024
Gestão Ambiental,Privada,Tecnólogo,Nordeste,716,169,2024
Gestão Ambiental,Privada,Tecnólogo,Norte,127,13,2024
Gestão Ambiental,Privada,Tecnólogo,Sudeste,4485,1895,2024
Gestão Ambiental,Privada,Tecnólogo,Sul,8117,3963,2024
Gestão Ambiental,Pública,Tecnólogo,Sudeste,8,1,2024
Gestão Ambiental E Sustentabilidade,Pública,Bacharelado,Sudeste,142,63,2024
Gestão Comercial,Privada,Tecnólogo,Centro-Oeste,2126,994,2024
Gestão Comercial,Privada,Tecnólogo,Nordeste,2931,878,2024
Gestão Comercial,Privada,Tecnólogo,Norte,233,72,2024
Gestão Comercial,Privada,Tecnólogo,Sudeste,18142,9315,2024
Gestão Comercial,Privada,Tecnólogo,Sul,24866,15470,2024
Gestão Comercial,Pública,Tecnólogo,Centro-Oeste,513,92,2024
Gestão Comercial,Pública,Tecnólogo,Norte,66,51,2024
Gestão Comercial,Pública,Tecnólogo,Sudeste,35,9,2024
Gestão Cultural,Pública,Tecnólogo,Sul,113,7,2024
Gestão Da Experiência Do Cliente,Privada,Tecnólogo,Sul,91,25,2024
Gestão Da Felicidade E Projeto De Vida,Privada,Tecnólogo,Sul,7,7,2024
Gestão Da Inovação,Privada,Tecnólogo,Centro-Oeste,25,14,2024
Gestão Da Inovação,Privada,Tecnólogo,Sudeste,51,6,2024
Gestão Da Inovação,Privada,Tecnólogo,Sul,241,93,2024
Gestão Da Inovação E Empreendedorismo Digital,Privada,Tecnólogo,Nordeste,19,5,2024
Gestão Da Inovação E Empreendedorismo Digital,Privada,Tecnólogo,Sudeste,204,74,2024
Gestão Da Inovação E Empreendedorismo Digital,Privada,Tecnólogo,Sul,25,13,2024
Gestão Da Produção,Privada,Tecnólogo,Sudeste,764,491,2024
Gestão Da Produção Industrial,Privada,Tecnólogo,Centro-Oeste,113,33,2024
Gestão Da Produção Industrial,Privada,Tecnólogo,Nordeste,68,30,2024
Gestão Da Produção Industrial,Privada,Tecnólogo,Sudeste,3062,1447,2024
Gestão Da Produção Industrial,Privada,Tecnólogo,Sul,7000,3988,2024
Gestão Da Qualidade,Privada,Tecnólogo,Centro-Oeste,609,285,2024
Gestão Da Qualidade,Privada,Tecnólogo,Nordeste,755,173,2024
Gestão Da Qualidade,Privada,Tecnólogo,Norte,130,34,2024
Gestão Da Qualidade,Privada,Tecnólogo,Sudeste,7084,3371,2024
Gestão Da Qualidade,Privada,Tecnólogo,Sul,11327,5652,2024
Gestão Da Qualidade,Pública,Tecnólogo,Nordeste,144,3,2024
Gestão Da Saúde Pública,Privada,Tecnólogo,Sudeste,142,46,2024
Gestão Da Saúde Pública,Privada,Tecnólogo,Sul,18,10,2024
Gestão Da Segurança E Defesa Cibernética,Privada,Tecnólogo,Sul,499,103,2024
Gestão Da Segurança Pública E Patrimonial,Privada,Tecnólogo,Centro-Oeste,2,0,2024
Gestão Da Segurança Pública E Patrimonial,Privada,Tecnólogo,Sudeste,4,0,2024
Gestão Da Sustentabilidade,Privada,Tecnólogo,Sul,5,0,2024
Gestão Da Tecnologia Da Informação,Privada,Tecnólogo,Centro-Oeste,761,388,2024
Gestão Da Tecnologia Da Informação,Privada,Tecnólogo,Nordeste,1681,669,2024
Gestão Da Tecnologia Da Informação,Privada,Tecnólogo,Norte,105,9,2024
Gestão Da Tecnologia Da Informação,Privada,Tecnólogo,Sudeste,13023,7133,2024
Gestão Da Tecnologia Da Informação,Privada,Tecnólogo,Sul,14060,7894,2024
Gestão Da Tecnologia Educacional,Privada,Tecnólogo,Sul,18,6,2024
Gestão Das Organizações Do Terceiro Setor,Privada,Tecnólogo,Nordeste,3,0,2024
Gestão Das Organizações Do Terceiro Setor,Privada,Tecnólogo,Sudeste,59,18,2024
Gestão Das Organizações Do Terceiro Setor,Privada,Tecnólogo,Sul,299,146,2024
Gestão Das Relações Eletrônicas,Privada,Tecnólogo,Sul,10,0,2024
Gestão De Agronegócios,Privada,Tecnólogo,Nordeste,1,0,2024
Gestão De Agronegócios,Privada,Tecnólogo,Sudeste,96,96,2024
Gestão De Agronegócios,Privada,Tecnólogo,Sul,65,33,2024
Gestão De Atividade Policial,Privada,Tecnólogo,Sul,357,37,2024
Gestão De Cidades Inteligentes,Privada,Tecnólogo,Sudeste,2,0,2024
Gestão De Cidades Inteligentes E Sustentáveis,Privada,Tecnólogo,Sul,55,9,2024
Gestão De Clínicas E Consultórios,Privada,Tecnólogo,Sul,244,45,2024
Gestão De Compliance E Políticas Corporativas,Privada,Tecnólogo,Sul,12,7,2024
Gestão De Cooperativas,Privada,Tecnólogo,Centro-Oeste,40,14,2024
Gestão De Cooperativas,Privada,Tecnólogo,Sudeste,238,89,2024
Gestão De Cooperativas,Privada,Tecnólogo,Sul,848,334,2024
Gestão De Cooperativas,Pública,Tecnólogo,Centro-Oeste,9,1,2024
Gestão De Dados,Pública,Tecnólogo,Nordeste,138,18,2024
Gestão De E-Commerce,Privada,Tecnólogo,Centro-Oeste,12,2,2024
Gestão De E-Commerce,Privada,Tecnólogo,Sudeste,358,107,2024
Gestão De E-Commerce,Privada,Tecnólogo,Sul,761,429,2024
Gestão De Esporte E Alto Rendimento,Privada,Tecnólogo,Sul,308,175,2024
Gestão De Eventos,Privada,Tecnólogo,Sudeste,6,6,2024
Gestão De Eventos,Privada,Tecnólogo,Sul,131,54,2024
Gestão De Farmácia,Privada,Tecnólogo,Sul,1054,689,2024
Gestão De Inventário Extrajudicial,Privada,Tecnólogo,Sul,15,4,2024
Gestão De Investimentos,Privada,Tecnólogo,Sul,122,31,2024
Gestão De Investimentos E Mercado Financeiro,Privada,Tecnólogo,Sul,1482,804,2024
Gestão De Lojas E Pontos De Vendas,Privada,Tecnólogo,Sul,346,199,2024
Gestão De Marketing,Privada,Tecnólogo,Centro-Oeste,60,47,2024
Gestão De Marketing,Privada,Tecnólogo,Sudeste,98,0,2024
Gestão De Marketing Digital,Privada,Tecnólogo,Sul,26,9,2024
Gestão De Marketing Em Mídias Digitais,Privada,Tecnólogo,Sudeste,21,0,2024
Gestão De Marketing Em Mídias Digitais,Privada,Tecnólogo,Sul,437,334,2024
Gestão De Micro E Pequenas Empresas,Privada,Tecnólogo,Sul,1,1,2024
Gestão De Mídias Digitais,Privada,Tecnólogo,Centro-Oeste,11,1,2024
Gestão De Mídias Digitais,Privada,Tecnólogo,Sudeste,218,102,2024
Gestão De Mídias Digitais,Privada,Tecnólogo,Sul,96,38,2024
Gestão De Mídias Sociais,Privada,Tecnólogo,Centro-Oeste,20,10,2024
Gestão De Mídias Sociais,Privada,Tecnólogo,Sudeste,565,287,2024
Gestão De Mídias Sociais,Privada,Tecnólogo,Sul,466,151,2024
Gestão De Negócios,Privada,Tecnólogo,Sul,658,343,2024
Gestão De Negócios Digitais,Privada,Tecnólogo,Nordeste,11,2,2024
Gestão De Negócios Digitais,Privada,Tecnólogo,Sudeste,182,72,2024
Gestão De Negócios Digitais,Privada,Tecnólogo,Sul,15,4,2024
Gestão De Negócios Digitais E E-Commerce,Privada,Tecnólogo,Sudeste,4,1,2024
Gestão De Negócios E Inovação,Privada,Tecnólogo,Centro-Oeste,45,27,2024
Gestão De Negócios E Inovação,Privada,Tecnólogo,Sudeste,128,52,2024
Gestão De Negócios E Inovação,Privada,Tecnólogo,Sul,61,7,2024
Gestão De Negócios Imobiliários,Privada,Tecnólogo,Centro-Oeste,308,160,2024
Gestão De Negócios Imobiliários,Privada,Tecnólogo,Nordeste,164,36,2024
Gestão De Negócios Imobiliários,Privada,Tecnólogo,Norte,22,3,2024
Gestão De Negócios Imobiliários,Privada,Tecnólogo,Sudeste,1914,1046,2024
Gestão De Negócios Imobiliários,Privada,Tecnólogo,Sul,4442,2386,2024
Gestão De Negócios No Varejo,Privada,Tecnólogo,Sul,1,0,2024
Gestão De Partidos Políticos,Privada,Tecnólogo,Sul,52,9,2024
Gestão De Patrimônio Cultural,Privada,Tecnólogo,Sudeste,9,0,2024
Gestão De Pessoas,Privada,Tecnólogo,Sul,12,0,2024
Gestão De Pessoas E Equipes,Privada,Tecnólogo,Centro-Oeste,137,49,2024
Gestão De Processos Educacionais,Privada,Tecnólogo,Sul,100,32,2024
Gestão De Produto,Privada,Tecnólogo,Centro-Oeste,23,7,2024
Gestão De Produto,Privada,Tecnólogo,Sudeste,59,21,2024
Gestão De Produto,Privada,Tecnólogo,Sul,177,95,2024
Gestão De Produção Industrial,Privada,Tecnólogo,Centro-Oeste,383,186,2024
Gestão De Produção Industrial,Privada,Tecnólogo,Nordeste,38,0,2024
Gestão De Produção Industrial,Privada,Tecnólogo,Sudeste,376,114,2024
Gestão De Produção Industrial,Privada,Tecnólogo,Sul,1102,615,2024
Gestão De Qualidade Na Saúde,Privada,Tecnólogo,Sudeste,77,29,2024
Gestão De Recursos Humanos,Privada,Tecnólogo,Centro-Oeste,4254,2138,2024
Gestão De Recursos Humanos,Privada,Tecnólogo,Nordeste,7029,2076,2024
Gestão De Recursos Humanos,Privada,Tecnólogo,Norte,354,67,2024
Gestão De Recursos Humanos,Privada,Tecnólogo,Sudeste,43759,22086,2024
Gestão De Recursos Humanos,Privada,Tecnólogo,Sul,55742,35577,2024
Gestão De Recursos Humanos,Pública,Tecnólogo,Centro-Oeste,497,128,2024
Gestão De Recursos Humanos,Pública,Tecnólogo,Sudeste,69,34,2024
Gestão De Recursos Humanos,Pública,Tecnólogo,Sul,8,2,2024
Gestão De Redes Sociais,Privada,Tecnólogo,Centro-Oeste,22,15,2024
Gestão De Resíduos De Serviços De Saúde,Privada,Tecnólogo,Sul,13,3,2024
Gestão De Resíduos Sólidos,Privada,Tecnólogo,Sul,16,3,2024
Gestão De Saúde Pública,Privada,Tecnólogo,Centro-Oeste,167,87,2024
Gestão De Saúde Pública,Privada,Tecnólogo,Sudeste,339,120,2024
Gestão De Saúde Pública,Privada,Tecnólogo,Sul,3821,1743,2024
Gestão De Segurança Privada,Privada,Tecnólogo,Centro-Oeste,386,214,2024
Gestão De Segurança Privada,Privada,Tecnólogo,Nordeste,17,5,2024
Gestão De Segurança Privada,Privada,Tecnólogo,Norte,19,12,2024
Gestão De Segurança Privada,Privada,Tecnólogo,Sudeste,3755,1919,2024
Gestão De Segurança Privada,Privada,Tecnólogo,Sul,7420,4201,2024
Gestão De Segurança Pública,Privada,Tecnólogo,Centro-Oeste,43,26,2024
Gestão De Segurança Pública,Privada,Tecnólogo,Sudeste,540,139,2024
Gestão De Seguros,Privada,Tecnólogo,Sudeste,871,415,2024
Gestão De Serviços Judiciais E Notariais,Privada,Tecnólogo,Centro-Oeste,98,33,2024
Gestão De Serviços Judiciais E Notariais,Privada,Tecnólogo,Sudeste,92,36,2024
Gestão De Serviços Judiciais E Notariais,Privada,Tecnólogo,Sul,2161,1271,2024
Gestão De Serviços Jurídicos,Privada,Tecnólogo,Centro-Oeste,31,18,2024
Gestão De Serviços Jurídicos,Privada,Tecnólogo,Sudeste,158,51,2024
Gestão De Serviços Jurídicos,Privada,Tecnólogo,Sul,389,175,2024
Gestão De Serviços Jurídicos E Notariais,Privada,Tecnólogo,Centro-Oeste,38,10,2024
Gestão De Serviços Jurídicos E Notariais,Privada,Tecnólogo,Nordeste,959,118,2024
Gestão De Serviços Jurídicos E Notariais,Privada,Tecnólogo,Norte,95,17,2024
Gestão De Serviços Jurídicos E Notariais,Privada,Tecnólogo,Sudeste,21,9,2024
Gestão De Serviços Jurídicos E Notariais,Privada,Tecnólogo,Sul,647,330,2024
Gestão De Serviços Jurídicos E Notariais,Pública,Tecnólogo,Centro-Oeste,326,91,2024
"Gestão De Serviços Jurídicos, Notariais E De Registro",Privada,Tecnólogo,Sudeste,567,308,2024
"Gestão De Serviços Jurídicos, Notariais E De Registro",Privada,Tecnólogo,Sul,107,0,2024
Gestão De Serviços Penais,Privada,Tecnólogo,Sul,65,10,2024
Gestão De Serviços Previdenciários,Privada,Tecnólogo,Sul,203,19,2024
Gestão De Startups,Privada,Tecnólogo,Sul,15,2,2024
Gestão De Trânsito,Privada,Tecnólogo,Nordeste,278,16,2024
Gestão De Trânsito,Privada,Tecnólogo,Norte,36,11,2024
Gestão De Trânsito,Privada,Tecnólogo,Sudeste,3,0,2024
Gestão De Trânsito,Privada,Tecnólogo,Sul,181,42,2024
Gestão De Turismo,Privada,Tecnólogo,Centro-Oeste,105,54,2024
Gestão De Turismo,Privada,Tecnólogo,Nordeste,24,4,2024
Gestão De Turismo,Privada,Tecnólogo,Norte,2,1,2024
Gestão De Turismo,Privada,Tecnólogo,Sudeste,1609,784,2024
Gestão De Turismo,Privada,Tecnólogo,Sul,2118,1140,2024
Gestão De Turismo,Pública,Tecnólogo,Sudeste,278,75,2024
Gestão De Varejo,Privada,Tecnólogo,Sul,20,5,2024
Gestão De Vendas,Privada,Tecnólogo,Sudeste,544,351,2024
"Gestão De Vendas, Logística E Distribuição",Privada,Tecnólogo,Nordeste,2,0,2024
Gestão Desportiva E De Lazer,Privada,Tecnólogo,Centro-Oeste,8,0,2024
Gestão Desportiva E De Lazer,Privada,Tecnólogo,Nordeste,2,0,2024
Gestão Desportiva E De Lazer,Privada,Tecnólogo,Sudeste,356,112,2024
Gestão Desportiva E De Lazer,Privada,Tecnólogo,Sul,79,17,2024
Gestão Do Agronegócio,Privada,Tecnólogo,Centro-Oeste,381,256,2024
Gestão Do Agronegócio,Privada,Tecnólogo,Nordeste,32,13,2024
Gestão Do Agronegócio,Privada,Tecnólogo,Norte,14,0,2024
Gestão Do Agronegócio,Privada,Tecnólogo,Sudeste,1665,811,2024
Gestão Do Agronegócio,Privada,Tecnólogo,Sul,6702,4422,2024
Gestão Do Agronegócio,Pública,Tecnólogo,Norte,237,30,2024
Gestão Do Agronegócio,Pública,Tecnólogo,Sudeste,6,2,2024
Gestão Do E-Commerce E Sistemas Logísticos,Privada,Tecnólogo,Sul,157,45,2024
Gestão Do Esporte,Privada,Tecnólogo,Sul,68,4,2024
Gestão Do Setor Automotivo,Privada,Tecnólogo,Sudeste,203,146,2024
Gestão Do Trânsito E Mobilidade Urbana,Privada,Tecnólogo,Sul,393,78,2024
Gestão E Desenvolvimento Do Agronegócio,Privada,Tecnólogo,Sul,20,9,2024
Gestão E Empreendedorismo,Privada,Licenciatura,Centro-Oeste,17,5,2024
Gestão E Empreendedorismo,Privada,Licenciatura,Sudeste,257,133,2024
Gestão E Empreendedorismo,Privada,Licenciatura,Sul,92,45,2024
Gestão E Empreendedorismo,Privada,Tecnólogo,Sul,419,215,2024
Gestão Em Farmácia,Privada,Tecnólogo,Sul,92,19,2024
Gestão Em Logística,Privada,Tecnólogo,Sul,109,65,2024
Gestão Em Serviços Judiciais,Privada,Tecnólogo,Sul,627,52,2024
Gestão Em Vigilância Em Saúde,Privada,Tecnólogo,Sul,95,20,2024
Gestão Empresarial,Privada,Tecnólogo,Sudeste,47,20,2024
Gestão Estratégica Empresarial,Privada,Tecnólogo,Centro-Oeste,6,3,2024
Gestão Estratégica Empresarial,Privada,Tecnólogo,Sul,622,145,2024
Gestão Financeira,Privada,Tecnólogo,Centro-Oeste,1540,708,2024
Gestão Financeira,Privada,Tecnólogo,Nordeste,2079,599,2024
Gestão Financeira,Privada,Tecnólogo,Norte,211,47,2024
Gestão Financeira,Privada,Tecnólogo,Sudeste,18788,9781,2024
Gestão Financeira,Privada,Tecnólogo,Sul,22880,12712,2024
Gestão Financeira,Pública,Tecnólogo,Sudeste,61,31,2024
Gestão Fiscal E Tributária,Privada,Tecnólogo,Sul,242,2,2024
"Gestão Global Trading: Negócios, Logística E Finanças Globais",Privada,Tecnólogo,Sul,137,31,2024
Gestão Hospitalar,Privada,Tecnólogo,Centro-Oeste,390,211,2024
Gestão Hospitalar,Privada,Tecnólogo,Nordeste,775,180,2024
Gestão Hospitalar,Privada,Tecnólogo,Norte,42,7,2024
Gestão Hospitalar,Privada,Tecnólogo,Sudeste,4151,2168,2024
Gestão Hospitalar,Privada,Tecnólogo,Sul,5360,3202,2024
Gestão Hospitalar,Pública,Tecnólogo,Nordeste,9,5,2024
Gestão Hospitalar,Pública,Tecnólogo,Sul,50,2,2024
Gestão Integrada De Agronegócios,Privada,Bacharelado,Sul,282,182,2024
Gestão Internacional,Privada,Tecnólogo,Sul,10,9,2024
Gestão Jurídica De Imigração,Privada,Tecnólogo,Sul,19,2,2024
Gestão Paroquial E De Projetos Sociais,Privada,Tecnólogo,Centro-Oeste,4,0,2024
Gestão Portuária,Privada,Tecnólogo,Centro-Oeste,94,59,2024
Gestão Portuária,Privada,Tecnólogo,Norte,13,3,2024
Gestão Portuária,Privada,Tecnólogo,Sudeste,480,222,2024
Gestão Portuária,Privada,Tecnólogo,Sul,682,377,2024
Gestão Pública,Privada,Tecnólogo,Centro-Oeste,2713,911,2024
Gestão Pública,Privada,Tecnólogo,Nordeste,2172,440,2024
Gestão Pública,Privada,Tecnólogo,Norte,381,56,2024
Gestão Pública,Privada,Tecnólogo,Sudeste,11866,5416,2024
Gestão Pública,Privada,Tecnólogo,Sul,20020,9073,2024
Gestão Pública,Pública,Tecnólogo,Centro-Oeste,114,0,2024
Gestão Pública,Pública,Tecnólogo,Norte,796,212,2024
Gestão Pública,Pública,Tecnólogo,Sudeste,15,5,2024
Gestão Tributária,Privada,Tecnólogo,Sul,52,25,2024
Governança Ambiental E Sustentabilidade,Privada,Tecnólogo,Sudeste,33,5,2024
História,Privada,Bacharelado,Centro-Oeste,32,9,2024
História,Privada,Bacharelado,Nordeste,10,2,2024
História,Privada,Bacharelado,Sudeste,1032,481,2024
História,Privada,Bacharelado,Sul,633,296,2024
História,Privada,Licenciatura,Centro-Oeste,592,310,2024
História,Privada,Licenciatura,Nordeste,662,227,2024
História,Privada,Licenciatura,Norte,76,3,2024
História,Privada,Licenciatura,Sudeste,7310,3552,2024
História,Privada,Licenciatura,Sul,11891,6928,2024
História,Pública,Licenciatura,Centro-Oeste,603,105,2024
História,Pública,Licenciatura,Nordeste,388,106,2024
História,Pública,Licenciatura,Norte,72,2,2024
História,Pública,Licenciatura,Sudeste,698,176,2024
História,Pública,Licenciatura,Sul,574,151,2024
História - Programa Segunda Licenciatura,Pública,Licenciatura,Sudeste,9,1,2024
Hotelaria,Privada,Bacharelado,Sudeste,28,17,2024
Hotelaria,Privada,Tecnólogo,Sudeste,480,162,2024
Hotelaria,Privada,Tecnólogo,Sul,497,122,2024
Influenciador Digital,Privada,Tecnólogo,Sudeste,56,23,2024
Informática,Privada,Licenciatura,Sul,537,244,2024
Informática Em Saúde,Privada,Tecnólogo,Nordeste,45,15,2024
Instrumentação Cirúrgica,Privada,Tecnólogo,Sul,1767,302,2024
Inteligência Artificial,Privada,Tecnólogo,Nordeste,349,20,2024
Inteligência Artificial,Privada,Tecnólogo,Norte,32,3,2024
Inteligência Artificial,Privada,Tecnólogo,Sudeste,676,208,2024
Inteligência Artificial,Privada,Tecnólogo,Sul,419,38,2024
Inteligência Artificial Aplicada,Privada,Tecnólogo,Sudeste,2,0,2024
Inteligência Artificial Aplicada,Privada,Tecnólogo,Sul,457,164,2024
Inteligência Artificial E Machine Learning,Privada,Tecnólogo,Sul,1605,545,2024
Inteligência Artificial: Sistemas De Dados Inteligentes,Privada,Tecnólogo,Sul,21,21,2024
Inteligência De Mercado,Privada,Tecnólogo,Sul,168,92,2024
Inteligência De Mercado E Análise De Dados,Privada,Tecnólogo,Centro-Oeste,71,40,2024
Inteligência De Mercado E Análise De Dados,Privada,Tecnólogo,Sudeste,112,45,2024
Inteligência De Mercado E Análise De Dados,Privada,Tecnólogo,Sul,536,295,2024
Inteligência De Negócios,Privada,Tecnólogo,Nordeste,92,89,2024
Interdisciplinar Em Ciência E Tecnologia,Pública,Bacharelado,Sul,84,49,2024
Interdisciplinar Em Humanidades,Privada,Bacharelado,Sudeste,30,10,2024
Interdisciplinar Em Negócios,Privada,Bacharelado,Sul,340,239,2024
Interdisciplinar Em Saúde,Privada,Bacharelado,Sudeste,69,48,2024
Interdisciplinar Em Saúde,Privada,Bacharelado,Sul,105,12,2024
Internet Das Coisas,Privada,Tecnólogo,Centro-Oeste,2,1,2024
Internet Das Coisas,Privada,Tecnólogo,Nordeste,26,3,2024
Internet Das Coisas,Privada,Tecnólogo,Norte,1,0,2024
Internet Das Coisas,Privada,Tecnólogo,Sudeste,77,22,2024
Internet Das Coisas,Privada,Tecnólogo,Sul,47,10,2024
Internet Das Coisas E Computação Em Nuvem,Privada,Tecnólogo,Sudeste,82,45,2024
Investigação E Perícia Criminal,Privada,Tecnólogo,Centro-Oeste,686,448,2024
Investigação E Perícia Criminal,Privada,Tecnólogo,Sudeste,1115,486,2024
Investigação E Perícia Criminal,Privada,Tecnólogo,Sul,7879,5375,2024
Investigação E Perícia Judicial,Privada,Tecnólogo,Sudeste,103,64,2024
